ticker,price_change
FELDVR,0.06592
JMFINANCIL,0.06634
ARMANFIN,0.0664
BGRENERGY,0.06644
BANARBEADS,0.06663
AMNPLST,0.06667
GLAXO,0.06678
ASAHISONG,0.06695
ICEMAKE,0.06712
BIKAJI,0.0672
JAYAGROGN,0.06726
IRCTC,0.06742
POLYCAB,0.06743
JSWINFRA,0.0675
SIGMA,0.06772
ASIANENE,0.06797
GLOBALVECT,0.06807
AKSHAR,0.06831
NCLIND,0.06842
VIDHIING,0.06877
ABSLAMC,0.06889
DCMNVL,0.06904
AJOONI,0.06916
BROOKS,0.0694
KEI,0.06973
SALSTEEL,0.06974
GPIL,0.06982
KINGFA,0.06989
PETRONET,0.06999
INVENTURE,0.07002
EASTSILK,0.07003
RICOAUTO,0.07036
DATAMATICS,0.07041
FIBERWEB,0.07056
LTTS,0.07058
PARADEEP,0.07065
VOLTAS,0.07067
CEREBRAINT,0.0709
PNCINFRA,0.07126
EMAMIPAP,0.07173
PFOCUS,0.07198
ASALCBR,0.07206
YATRA,0.07207
SUDARSCHEM,0.07235
COFFEEDAY,0.07255
KSCL,0.07278
NIITMTS,0.07294
GRANULES,0.07303
TARMAT,0.07304
OBEROIRLTY,0.07319
INDUSTOWER,0.07334
MARATHON,0.07339
DECCANCE,0.07339
SIEMENS,0.0734
CANFINHOME,0.07369
EASEMYTRIP,0.07376
AARTECH,0.07385
CLEDUCATE,0.07385
YUKEN,0.07389
ARIHANTCAP,0.07414
APCL,0.07433
TCPLPACK,0.07451
LINDEINDIA,0.07473
NGLFINE,0.07485
NIITLTD,0.07516
AARTIPHARM,0.07521
ARTEMISMED,0.07521
MFSL,0.07524
FORTIS,0.07536
ESTER,0.07555
SHIVATEX,0.07567
BEL,0.07568
AARON,0.07581
PRAXIS,0.07585
ACI,0.07593
IOLCP,0.07602
SHIVAMAUTO,0.07618
BIL,0.07636
AJANTPHARM,0.07658
SPENCERS,0.07664
SALONA,0.07667
LYPSAGEMS,0.07687
ISGEC,0.07699
BANKBARODA,0.07704
3IINFOLTD,0.07714
SUBROS,0.07723
KMSUGAR,0.07736
VSTTILLERS,0.07764
PRAJIND,0.07769
RELIANCE,0.07777
MCDOWELL-N,0.07783
NARMADA,0.07822
RUSTOMJEE,0.07823
ESABINDIA,0.07823
SJS,0.07846
AMJLAND,0.07868
FINPIPE,0.07879
CONTROLPR,0.07884
USHAMART,0.07885
SILLYMONKS,0.07927
ISMTLTD,0.07928
RUCHIRA,0.0794
GLAND,0.08004
GAIL,0.08006
BASML,0.08017
STOVEKRAFT,0.08038
TCI,0.08073
RITCO,0.08081
NTPC,0.08085
BHARTIARTL,0.08097
PODDARMENT,0.08116
RAJMET,0.08118
IONEXCHANG,0.08123
LAXMIMACH,0.08154
AGROPHOS,0.08184
URAVI,0.082
PANACHE,0.08256
GSFC,0.08266
SIS,0.08268
INDIGO,0.08269
BASF,0.08274
ORIENTPPR,0.08292
MARUTI,0.08292
HINDOILEXP,0.08307
ADL,0.08308
SBIN,0.08327
CSLFINANCE,0.0833
PAR,0.08331
HINDCOMPOS,0.08335
GAEL,0.08346
BBTC,0.08346
UMANGDAIRY,0.08356
HEUBACHIND,0.08393
INGERRAND,0.08402
CHOLAHLDNG,0.08402
ALKEM,0.0842
POWERGRID,0.08469
RUSHIL,0.08475
WIPRO,0.08508
MAZDOCK,0.08524
HARSHA,0.08549
GOLDENTOBC,0.08554
ASTRAL,0.08555
HCLTECH,0.08566
NAHARSPING,0.08597
SAKSOFT,0.08617
MPSLTD,0.08636
GENCON,0.08654
TTKHLTCARE,0.0866
SPANDANA,0.08664
ARTNIRMAN,0.08665
DAMODARIND,0.08677
SANGAMIND,0.08681
HCG,0.08715
ZIMLAB,0.08716
RUPA,0.08716
JAYSREETEA,0.08718
SARDAEN,0.08776
TREL,0.0878
MEDICO,0.08781
L&TFH,0.08804
FOCUS,0.08836
JUSTDIAL,0.08839
EMKAY,0.08844
VARROC,0.08871
GUJAPOLLO,0.08873
PRIMESECU,0.08874
AROGRANITE,0.08885
WEALTH,0.08919
GOCLCORP,0.08925
MAGADSUGAR,0.08941
AVTNPL,0.08953
ACCURACY,0.08987
HARRMALAYA,0.09086
SANGHIIND,0.09117
SHANKARA,0.09175
SVLL,0.09177
RATNAVEER,0.09181
SARLAPOLY,0.09192
SHALPAINTS,0.09211
TERASOFT,0.09213
HATHWAY,0.09223
DHANUKA,0.09227
IVP,0.09249
IPCALAB,0.09258
RAYMOND,0.09268
AIRAN,0.09286
EPIGRAL,0.09302
APOLLOHOSP,0.0932
ORIENTHOT,0.09351
SHRADHA,0.09356
SHAHALLOYS,0.09362
ANMOL,0.09365
AMDIND,0.09375
RAJTV,0.09377
UNITEDTEA,0.09385
GLENMARK,0.09388
WORTH,0.0942
PNBGILTS,0.0943
SUNDARAM,0.09448
AMBUJACEM,0.09491
JKCEMENT,0.09506
ELGIEQUIP,0.09514
TECILCHEM,0.09515
EMAMIREAL,0.09546
LODHA,0.09592
SULA,0.09593
NESCO,0.09593
SUBEXLTD,0.096
GRAVITA,0.096
THERMAX,0.09601
SILINV,0.0966
AUROPHARMA,0.09663
ZENSARTECH,0.09672
GATEWAY,0.09695
BANSWRAS,0.09696
SENCO,0.09697
KAYA,0.09703
CASTROLIND,0.0971
PROZONER,0.09724
KEC,0.09772
RANEENGINE,0.09793
GMRP&UI,0.09824
M&M,0.09831
INDIGOPNTS,0.09843
CELEBRITY,0.09847
YATHARTH,0.09848
MOTHERSON,0.09863
DGCONTENT,0.09865
SANDESH,0.09866
SGIL,0.09868
JUBLPHARMA,0.0993
HECPROJECT,0.09935
EXIDEIND,0.09965
VTL,0.09997
EXCEL,0.1
AVANTIFEED,0.10006
KIMS,0.10024
ARROWGREEN,0.10034
TTL,0.10038
PPLPHARMA,0.10061
VIVIDHA,0.10061
MAHEPC,0.1008
EDUCOMP,0.10098
HINDCOPPER,0.10107
ESCORTS,0.10127
THEJO,0.10148
RIIL,0.10176
CORALFINAC,0.10183
TDPOWERSYS,0.10227
GEOJITFSL,0.10244
MANGLMCEM,0.1025
DUCON,0.10266
ARVINDFASN,0.10284
AAREYDRUGS,0.10307
BCLIND,0.10321
LAMBODHARA,0.10379
KAPSTON,0.10463
ZOTA,0.10468
TATAPOWER,0.10482
ADSL,0.10482
ABBOTINDIA,0.1049
BFINVEST,0.10491
GODREJIND,0.10503
ADVENZYMES,0.10506
GSPL,0.10523
TORNTPHARM,0.10525
ACC,0.1056
MAPMYINDIA,0.1056
PRECWIRE,0.1056
MANGALAM,0.1058
CGCL,0.10582
MENONBE,0.10601
DELHIVERY,0.10617
ICICIGI,0.10621
ATLANTAA,0.1069
DHARMAJ,0.10704
LIBERTSHOE,0.10725
MSUMI,0.10741
20MICRONS,0.10748
GUFICBIO,0.10776
GUJGASLTD,0.10787
SELAN,0.10791
STARPAPER,0.10818
CARTRADE,0.10819
ADANIGREEN,0.10827
DEN,0.10828
UJJIVAN,0.10846
SHEMAROO,0.10866
KHAICHEM,0.10873
SUNTECK,0.10901
GHCLTEXTIL,0.10909
INDIAGLYCO,0.10923
ZEEMEDIA,0.10925
HAL,0.10956
MEGASTAR,0.10972
RAMANEWS,0.10975
CAMS,0.10984
CRISIL,0.10985
VIJIFIN,0.11003
TVSSRICHAK,0.11008
VARDHACRLC,0.11011
POLYMED,0.11015
JAYBARMARU,0.11022
TIRUMALCHM,0.11022
INTLCONV,0.1103
SHYAMMETL,0.11036
SURANAT&P,0.11061
LCCINFOTEC,0.11072
RAMRAT,0.11104
KALYANIFRG,0.11109
MIRZAINT,0.1115
PRECAM,0.11152
LOKESHMACH,0.11164
TVTODAY,0.11173
POWERINDIA,0.11187
OBCL,0.11193
CDSL,0.11213
HITECHGEAR,0.11221
ONWARDTEC,0.11221
GANDHITUBE,0.11233
ISEC,0.11249
KKCL,0.11269
THEMISMED,0.11291
RELINFRA,0.11337
CIGNITITEC,0.11377
MORARJEE,0.11446
JINDWORLD,0.11457
DVL,0.11497
NAVNETEDUL,0.115
BANKINDIA,0.11508
SHREYANIND,0.11525
VISHWARAJ,0.11535
KANANIIND,0.11544
GREENLAM,0.11545
KITEX,0.11594
SUNPHARMA,0.11627
TEGA,0.11691
IPL,0.11737
BAJAJHLDNG,0.11737
ORBTEXP,0.11747
MRF,0.11772
SUNDARMFIN,0.11799
GANESHBE,0.11821
RVHL,0.11826
NRBBEARING,0.11828
COUNCODOS,0.11841
PLASTIBLEN,0.11842
GMRINFRA,0.11846
JIOFIN,0.11847
COFORGE,0.11852
HMT,0.11868
RATNAMANI,0.11871
STEELCAS,0.11884
ALPA,0.11894
ASIANTILES,0.11913
DYNPRO,0.11926
RAMKY,0.11926
HINDMOTORS,0.11931
NELCAST,0.11936
RGL,0.11948
SASKEN,0.11948
SPIC,0.11956
SOFTTECH,0.1196
HEROMOTOCO,0.11975
ADROITINFO,0.11999
KIRLOSIND,0.12019
ASHIANA,0.12022
XELPMOC,0.12027
SHRIRAMFIN,0.1203
DIXON,0.12033
GFLLIMITED,0.12037
TBZ,0.12066
WINDMACHIN,0.12069
LOVABLE,0.12079
GLOBAL,0.121
TVSMOTOR,0.12145
PERSISTENT,0.12149
AMBICAAGAR,0.1219
ALEMBICLTD,0.1219
